true_radius,predicted_radius,radius_error,ruler
[0.855],[0.84620184],[0.01029027],1.5684798e-05
[0.855],[0.8510394],[0.00463229],1.5684798e-05
[1.443],[1.4212089],[0.01510125],1.5684798e-05
[0.855],[0.8439393],[0.01293651],1.5684798e-05
[1.443],[1.422869],[0.01395079],1.5684798e-05
[0.855],[0.84556735],[0.01103237],1.5684798e-05
[0.855],[0.84919316],[0.00679165],1.5684798e-05
[1.443],[1.4200757],[0.01588656],1.5684798e-05
[0.855],[0.8451386],[0.01153381],1.5684798e-05
[1.443],[1.4203985],[0.01566285],1.5684798e-05
[0.855],[0.84879136],[0.00726159],1.5684798e-05
[1.443],[1.4228694],[0.01395046],1.5684798e-05
[1.443],[1.4217014],[0.01475989],1.5684798e-05
[1.443],[1.4216204],[0.01481607],1.5684798e-05
[0.855],[0.8478387],[0.00837581],1.5684798e-05
[1.443],[1.4214122],[0.01496031],1.5684798e-05
[1.443],[1.4199574],[0.01596851],1.5684798e-05
[1.443],[1.4208411],[0.01535611],1.5684798e-05
[1.443],[1.4211282],[0.01515718],1.5684798e-05
[0.855],[0.84959304],[0.00632395],1.5684798e-05
[1.443],[1.4214001],[0.01496874],1.5684798e-05
[0.855],[0.8493097],[0.00665536],1.5684798e-05
[1.443],[1.4208109],[0.01537701],1.5684798e-05
[1.443],[1.4172981],[0.01781142],1.5684798e-05
[1.443],[1.4198301],[0.01605674],1.5684798e-05
[1.443],[1.4243045],[0.01295598],1.5684798e-05
[1.443],[1.4207709],[0.01540477],1.5684798e-05
[0.855],[0.84380716],[0.01309106],1.5684798e-05
[1.443],[1.4207823],[0.01539683],1.5684798e-05
[1.443],[1.4203622],[0.01568796],1.5684798e-05
[0.855],[0.84696156],[0.00940171],1.5684798e-05
[0.855],[0.84571546],[0.01085913],1.5684798e-05
[1.443],[1.4202566],[0.01576115],1.5684798e-05
[1.443],[1.4190419],[0.01660297],1.5684798e-05
[0.855],[0.84540385],[0.01122359],1.5684798e-05
[1.443],[1.4212843],[0.01504895],1.5684798e-05
[0.855],[0.8522457],[0.00322144],1.5684798e-05
[0.855],[0.84799165],[0.00819693],1.5684798e-05
[1.443],[1.4226664],[0.01409115],1.5684798e-05
[1.443],[1.4202473],[0.0157676],1.5684798e-05
[1.443],[1.4182651],[0.01714127],1.5684798e-05
[1.443],[1.4191928],[0.01649838],1.5684798e-05
[0.855],[0.8473243],[0.00897744],1.5684798e-05
[1.443],[1.4192741],[0.01644204],1.5684798e-05
[0.855],[0.8484981],[0.00760458],1.5684798e-05
[1.443],[1.4229496],[0.01389495],1.5684798e-05
[0.855],[0.845817],[0.01074034],1.5684798e-05
[1.443],[1.4223304],[0.01432403],1.5684798e-05
[1.443],[1.4193506],[0.01638901],1.5684798e-05
[0.855],[0.8489931],[0.00702561],1.5684798e-05
[1.443],[1.4204427],[0.0156322],1.5684798e-05
[0.855],[0.84539723],[0.01123133],1.5684798e-05
[1.443],[1.4209121],[0.01530687],1.5684798e-05
[1.443],[1.4171194],[0.01793526],1.5684798e-05
[0.855],[0.8485382],[0.00755766],1.5684798e-05
[1.443],[1.4215305],[0.01487836],1.5684798e-05
[0.855],[0.8499649],[0.00588901],1.5684798e-05
[0.855],[0.8480913],[0.00808037],1.5684798e-05
[1.443],[1.4195737],[0.01623444],1.5684798e-05
[0.855],[0.8484154],[0.00770134],1.5684798e-05
[0.855],[0.8475446],[0.00871978],1.5684798e-05
[1.443],[1.4205955],[0.01552629],1.5684798e-05
[1.443],[1.4204307],[0.01564054],1.5684798e-05
[0.855],[0.8470183],[0.00933534],1.5684798e-05
[1.443],[1.4204104],[0.01565458],1.5684798e-05
[0.855],[0.84703237],[0.00931889],1.5684798e-05
[1.443],[1.4236089],[0.01343802],1.5684798e-05
[0.855],[0.8491857],[0.00680037],1.5684798e-05
[0.855],[0.852033],[0.00347018],1.5684798e-05
[0.855],[0.8508411],[0.00486423],1.5684798e-05
[0.855],[0.8492358],[0.00674181],1.5684798e-05
[0.855],[0.84667164],[0.00974079],1.5684798e-05
[1.443],[1.4204453],[0.01563038],1.5684798e-05
[1.443],[1.4200232],[0.01592291],1.5684798e-05
[0.855],[0.8444508],[0.0123383],1.5684798e-05
[1.443],[1.4205207],[0.01557817],1.5684798e-05
[0.855],[0.8469842],[0.00937522],1.5684798e-05
[1.443],[1.4212575],[0.01506754],1.5684798e-05
[0.855],[0.85299224],[0.00234828],1.5684798e-05
[1.443],[1.420203],[0.01579833],1.5684798e-05
[0.855],[0.84923977],[0.00673714],1.5684798e-05
[0.855],[0.8451211],[0.01155431],1.5684798e-05
[0.855],[0.8471123],[0.0092254],1.5684798e-05
[1.443],[1.4232202],[0.01370742],1.5684798e-05
[1.443],[1.4198796],[0.01602246],1.5684798e-05
[1.443],[1.419779],[0.01609218],1.5684798e-05
[0.855],[0.84613484],[0.01036863],1.5684798e-05
[0.855],[0.84793377],[0.00826462],1.5684798e-05
[1.443],[1.4194837],[0.01629681],1.5684798e-05
[0.855],[0.8499784],[0.00587325],1.5684798e-05
[1.443],[1.4222641],[0.01436997],1.5684798e-05
[0.855],[0.85125494],[0.00438021],1.5684798e-05
[1.443],[1.4192799],[0.01643799],1.5684798e-05
[1.443],[1.4230393],[0.01383274],1.5684798e-05
[1.443],[1.4193861],[0.01636439],1.5684798e-05
[0.855],[0.8439062],[0.0129752],1.5684798e-05
[0.855],[0.85091114],[0.00478231],1.5684798e-05
[1.443],[1.4204223],[0.01564632],1.5684798e-05
[0.855],[0.84589785],[0.01064581],1.5684798e-05
[1.443],[1.4225764],[0.01415352],1.5684798e-05
[1.443],[1.4197417],[0.01611796],1.5684798e-05
[1.443],[1.4227507],[0.01403274],1.5684798e-05
[0.855],[0.84657425],[0.0098547],1.5684798e-05
[1.443],[1.4210234],[0.01522979],1.5684798e-05
[0.855],[0.8442716],[0.01254786],1.5684798e-05
[1.443],[1.4209213],[0.01530051],1.5684798e-05
[0.855],[0.84631944],[0.01015273],1.5684798e-05
[0.855],[0.8465764],[0.00985219],1.5684798e-05
[0.855],[0.84847385],[0.00763295],1.5684798e-05
[0.855],[0.8483395],[0.00779008],1.5684798e-05
[1.443],[1.4231209],[0.01377623],1.5684798e-05
[1.443],[1.4238882],[0.01324446],1.5684798e-05
[0.855],[0.85325855],[0.00203681],1.5684798e-05
[1.443],[1.4234474],[0.01354996],1.5684798e-05
[0.855],[0.8523194],[0.0031352],1.5684798e-05
[1.443],[1.4204388],[0.01563492],1.5684798e-05
[0.855],[0.85020936],[0.00560312],1.5684798e-05
[0.855],[0.84853107],[0.00756603],1.5684798e-05
[0.855],[0.84708494],[0.0092574],1.5684798e-05
[0.855],[0.84999985],[0.00584816],1.5684798e-05
[1.443],[1.4194453],[0.01632341],1.5684798e-05
[1.443],[1.4204801],[0.01560626],1.5684798e-05
[0.855],[0.8503346],[0.00545665],1.5684798e-05
[1.443],[1.4213074],[0.01503293],1.5684798e-05
[1.443],[1.4207201],[0.01543996],1.5684798e-05
[0.855],[0.84945834],[0.0064815],1.5684798e-05
